Tweet,label
Good morning.,Not suicidal
RT @MandalMadhura: @narendramodi It’s a black Diwali for all of us who failed to #LetAvniLive. while we reached out to ur office with evide…,Suicidal
Damn really hate myself rn,Suicidal
happy birthdaaaaayyy bebe @noveloraineee 💖godbless youuu,Not suicidal
RT @VibeFeeIings: Your hardest times often lead to the greatest moments of your life. Keep the faith. It will all be worth in the end.,Not suicidal
i wanna kill myself im so fucking done,Suicidal
"i’m tired of struggling, im tired of asking for help and mostly i’m just tired of life. it’s not worth living anymore.",Suicidal
"is laughing , i cant believe flea attacks dougie xx",Not suicidal
"RT @shelbypie24: I saw a quote on Pinterest that said, “When I stand before God at the end of my life, I hope that I don’t have a single bi…",Suicidal
@wookim and the consensus was... ?,Not suicidal
bruh i HATE myself a hot guy that i’ll NEVER SEE AGAIN says ONE THING to me and i’m like damn that would be cute to… https://t.co/GbaysqYRwU,Suicidal
my friends think i'm weird because i watch the news all the time....watching the news,Not suicidal
RT @BarcaTimes: 💭 | Bartomeu: “Today he celebrates two further honours in a legendary career: A 5th Pichichi goalscorer award and the Di St…,Not suicidal
RT @elsierosehewitt: how much anger must u be carrying to treat a stranger -who’s life/struggles/battles you know nothing about- so poorly?…,Suicidal
"Scared of death, tired of living.",Suicidal
embedding a google calendar into a site is actually seriously easy,Not suicidal
i was assigned to sit next to the most awesome student in my class (Y) hahaha,Not suicidal
@Shmerkle I went with CSI as my episode 3 of Dollhouse needed redownloading! Once that's done I can watch that then the rest,Not suicidal
"@Shy_Tide,England,Yeah no i dont want to be here anymore it hurts too much and im struggling too much",Suicidal
@janakidasa1 @BeecheyPat @central_cap @LevequeThots It is sickening. What is sickening is we elect ppl like the lib… https://t.co/v8PzGBUglY,Suicidal
"right then nsb archive done and dusted, ape accounts up to date, freeland winner sorted.. haha now to do some real work",Not suicidal
@BrisbaneGirl 'hen' style may or may not involve making promises OTHER people need to deliver ... no such concerns here,Not suicidal
"Wow! Just back from my longest ever non stop run, 14 miles. Now I truly know what sore legs feel like! delighted tho",Not suicidal
"@jaredleto hey ho, jared! I'm vegan too...hope you're all right",Not suicidal
@xroldx narrated by Dave Smalley.....my hero....this cannot go wrong,Not suicidal
"@MovinThatGearUp,Badlands/Smash Manor,@UltimxteCreator i guess",Suicidal
Being a single mommy was never part of the plan but I wake up everyday and do my shit💪🏾,Suicidal
i don't wanna fucking be here anymore,Suicidal
@hodakotb celebrate my bday on klg's anniversary bday shout out! can't wait to watch!,Not suicidal
@wimcoekaerts Shouldn't that be life in the 'car pool lane' my friend ?,Not suicidal
"@saraayk5,,RT @jaemverse: i just dont want to be here anymore",Suicidal
@alexakesson follow @hedge_funds,Not suicidal
@louisepb You've come to the right place. I own an office interiors company! How big would you like your desk?,Not suicidal
About me and im serious about that. If i were to ever (i dont think i have the guts sadly) do suicide i wouldnt lea… https://t.co/0bCFEagZl1,Suicidal
RT @axelsoup: the false information of hanyu never having to study like any other person as if he didn't have to wake up at 5AM to take ent…,Suicidal
RT @gracee_chang: Me knowing damn well that I will hate myself for taking a 7:30 but doing it anyways https://t.co/FRhjVbgkUw,Suicidal
"@therealRC12,,Honestly I dont want to be here anymore....",Suicidal
RT @MileyCyrus: Completely devestated by the fires affecting my community. I am one of the lucky ones. My animals and LOVE OF MY LIFE made…,Not suicidal
"@308Olsen,Blaine, MN,I dont want to be here anymore.",Suicidal
me as a future therapist: damn :/ it be like that sometimes,Suicidal
EVERY DAMN DAY. I HATE MYSELF. https://t.co/efhJYXcdU2,Suicidal
says just watched Mall Cop. http://plurk.com/p/n0s0q,Not suicidal
"@adoredesalon WHAT? You so need to put that on the site. You know, cause us bloggers LOVE free wifi!! Awesome.",Not suicidal
"@candyguy53,Tillsonburg, Ontario,@amvetsupport Ok.",Suicidal
Thanks to everyone who's sent me work this year... You'll pleased to know I've just planted 85 trees in India with some of the profits x,Not suicidal
How do I sought for help in wanting to commit suicide,Suicidal
Fake news just went ballistic. Get ready.                                 You thought fake news was bad? Deep fakes… https://t.co/LnXcyfRktk,Suicidal
i hate when i want to be self-pitying but my mind refuses to let me like damn I just wanna feel sorry for myself fo… https://t.co/ekUgU72yA5,Suicidal
@geo7 it wont be miserable for at least 2 weeks tho,Not suicidal
@babydestiny24 What's Twitter? OH!! This is Twitter. Yea... My poor little birdie! No! Here comes the FAIL WHALE!!,Not suicidal
RT @AmNotJake: I'm so fucking tired of living I'm not smart I'm not athletic I'm not attractive I'm not talented I just have this fucking t…,Suicidal
@dajw nowt wrong with abit of cheese monsieur Winsor,Not suicidal
RT @palestinianho: patient: i hate myself and i want to die,Suicidal
"http://twitpic.com/2yf0y - Me and my boyfriend, Tom, on my birthday night out",Not suicidal
Y'a I'll go on a complete social media strike till I change myself completely. I'm about to unlearn all the fucked… https://t.co/d2baPJ9Q6c,Suicidal
RT @JimmieAthletics: Congratulations to @JimmieFootball OL Anthony Vereen for being named GPAC Football First Team Offense 2018! #GoJimmies…,Not suicidal
Who the fuck looses their damn keys? I hate myself 🤦🏼‍♀️,Suicidal
How to deal with the problems which can lead to suicide,Suicidal
"Back home and finished dinner. Just stopped by for a minute, still much to do tonight! Be back later",Not suicidal
@toodamnninja uhuhhhh. word fail. it's 'shipwreck in the sand'. obviously too early,Not suicidal
loving the credit crunch,Not suicidal
making some lunch,Not suicidal
Plans have changed for the better... out for a MTB ride in the sunshine now,Not suicidal
Bye bye!! Going to sleep!! (finally!!) XDDDD :-D :-P,Not suicidal
Had a good start today!,Not suicidal
All I want rn is to get home and take a fucking shower and die,Suicidal
"RT @TGGuide: TransFact: Sadly, around 78% of transgender people who were bullied at school have thought about or attempted suicide. This ne…",Suicidal
@MonicaLewinsky @VanityFair Who cares? It happened and it is in the past. You have nothing to apologize for. Hillar… https://t.co/7hCvOUANCm,Suicidal
My life is so miserable and it's not getting better.,Suicidal
"@slydevil damn right!, kinda hate myself for not having the system to lay it on... being poor sucks",Suicidal
"@w_terrence @JenNbrenstore That guy is the total, complete product of PROGRESSIVE RE-EDUCATION. In other words, he'… https://t.co/moXnGTexzJ",Suicidal
Don’t break other people down just because they may seem “weaker” than you. If someone’s eyes are 20/20 that doesn’… https://t.co/DHtb9JZKxE,Suicidal
I GET IT WOOOOOOOOOOOO,Not suicidal
"@gcoakley13,,2nd is 'i dont want to be here anymore' by em too",Suicidal
@BBQNYC thats right unc!!! what a game...,Not suicidal
Off to the bakery to buy yummy stuff,Not suicidal
"I'm getting tired of people going through everything, like literally everytime I die its cuz someone goes my stuff",Suicidal
"@petesanderson A little of what you fancy does you good, I am told",Not suicidal
"IVE LOST A LOT OF INTEREST IN NASCAR AND DONT THINK I WILL TWEET FROM HERE MUCH ANYMORE. IF YOU STILL WANT TO BE FRIENDS OR SOMETHING, YOU CAN FOLLOW MY LESS POPULAR TWITTER PAGE: @gutcheez. WE CAN BE FRIENDS THERE.",Suicidal
@xxandip uh oh i take it someone cant spell your name? im a katie and hate it when people put katy x,Not suicidal
"Busy times at Elstree Studios. New arrivals include, Murderland, Secret Diary of a call girl - Re-uniting the Rubins - Huge - Sainsburys",Not suicidal
"@thekingscosmos,,My sister ruined the night before it even started I dont even want to be here anymore",Suicidal
how many times do i have to be in this position for my fucking mother to realise that if i stay here i’ll either ki… https://t.co/lBQ8hoeHC2,Suicidal
"I’m so much happier &amp; better off without you weak , fake lames 😁 leave me alone , I don’t need you anyway #bigslime 🌠",Suicidal
@tommcfly did you go to the gerhard richter exhibition? i love it there,Not suicidal
@bobbyllew That could have been embarrassing! At least you remembered this time today and not this time tomorrow! Small mercies!,Not suicidal
you guys are mean I would never wake up my friends,Suicidal
Trying out &quot;Delicious Library 2&quot; with mixed results The bar code thought I wanted to add a sport bra instead of a drill Cool app tho!,Not suicidal
@aprilmcvey whyy dont you update somemore mom! HAVE A BLESSED DAY!,Not suicidal
RT @NiallOfficial: 2 wins in 2 weeks . Congratulations @TyrrellHatton ! Machine,Not suicidal
"@TheLoneDude1,United States,Why is everything so cancerous now. Like I cant even remember anymore if all this corporate crap has always been here or not but it's freaking stupid. I just want to watch a youtube video, I dont want to be force-fed a stupid product every time i go online like its cable TV.",Suicidal
"RT @elonmusk: Congratulations @SpaceX team! Thanks @NASA, much appreciated. https://t.co/6aiWbh8F6V",Not suicidal
"It’s only the 12th and I have completed 75% of my selling goal, I’M HAPPY 😋",Not suicidal
man game of thrones is going to end next year and I'll have to wait 10 years for TWOW and ADOS to come out to get m… https://t.co/LIVsVvZC3M,Suicidal
Tired of living with childish people,Suicidal
daycare is so damn expensive. and the only reason why im getting a discount is because the owner knows my aunt. but… https://t.co/6Ml25B4CYE,Suicidal
@fancyelastic He he! Thanks,Not suicidal
@suitelifeofkell haha me too! it reminds me and my daddy of the monkee's old show same here can't wait! lol. WHATTT?,Not suicidal
Causes of suicide,Suicidal
Why all this challenges had to come my way where no one thought of me,Suicidal
@maufeitioblog obviously,Not suicidal
i wanna die pls i'm tired of everything,Suicidal
"@MaranePlaza: Glad you enjoyed your first day, frend",Not suicidal
"@LizzieLib Could be - mine grew out, down my back and then all fell off",Not suicidal
Sex dreams are my least favorite dreams. Like they're always weird and appear out of nowhere and then you think its… https://t.co/1fdKAwFjwE,Suicidal
@mikeyway Cute,Not suicidal
busy day...update tonight,Not suicidal
RT @WeLoveDara: [CAP] Joross Gamboa greets her a happy birthday in her IG Live! 💖 https://t.co/sHwHEJb0vr,Not suicidal
good morning all,Not suicidal
I streamed two episodes of Riverdale and I hate myself so damn much because now I have no data 😭😭😭,Suicidal
Getting ready to take kids to the farm,Not suicidal
I hate when I have to rate my group members because I’ll ALWAYS rate them higher than I’d rate myself knowing damn… https://t.co/bFUvC55DTT,Suicidal
I want to fucking die someone please kill me but suck all the fat out of me first,Suicidal
"I quit, I keep grinding but still fucking suck. I no life something and I still fucking suck. I’m never gonna get i… https://t.co/90Myx2lVgt",Suicidal
Haircut! Feeling fresh and clean,Not suicidal
RT @MuffetMcGraw: Congratulations to Vivian stringer on your 1000th win tonight.   An amazing accomplishment for an amazing woman.  You sta…,Not suicidal
"RT @WanNurSyaira: I never say my life is miserable, my life is pretty good not gonna lie. But what it seems to be a “privileged” life may n…",Suicidal
Random thought #471729.I'm so glad I live in the time of GPS on my cell and navi in my car bc NOTHING confused me m… https://t.co/QwvphlC58Q,Suicidal
@khalidh nothing before BlogWorld Expo on the schedule at this stage - have netbook will travel tho',Not suicidal
@taylorchoi congrats!!!!! Ill def go and support the TC Media takeover,Not suicidal
"@HZilionis The thing to remember is, obsessing sucks up energy you could put into that new story! I say kick worry to the curb.",Not suicidal
@AMyburgh No problem.,Not suicidal
What ways I would use to get rid of my messed up life?,Suicidal
RT @LSUBonnette: Had a feeling it was going to be a great day got to meet John Stockton before the game,Not suicidal
@misspolyamory maybe more hugs is what i need,Not suicidal
"@Sannymoorby,,Is it horrible of me that i want to commit #suicide, that i dont want to be here anymore",Suicidal
Damn this is hardcore. I hate myself for preheating so many ovens against clear AP style. https://t.co/uWN48qF0nT,Suicidal
@Thehodge that is pretty awesome! it makes me want a smart car now! (and a cup of tea),Not suicidal
Off work. Resisting the urge to go home and just fucking sleep forever tbh.,Suicidal
"trying out Spaz for Twitter posts. love my DestroyTwitter, but it's easier to read Spaz!",Not suicidal
loves the weather and goes on a bike tour with her doggy now,Not suicidal
How do I make it go away?,Suicidal
Interesting night! i love my sisters,Not suicidal
@JonathanRKnight Thank you for inspiring people to check out a great cause that they might not have otherwise known was out there,Not suicidal
"accidentally her whole rib cage...well, nearly half of it! http://tinyurl.com/da72gp",Not suicidal
"trying to find something formal to wear in a casual closet, jeans and popculture shirt will do good enough.",Not suicidal
@nikki_knebs Congrats. Hopefully we will be seeing you in the fall.,Not suicidal
y do i overthink everything in my life and then make myself believe these things. i just end up disappointed or stressed ugh,Suicidal
watching Arthur cos I'm way cool,Not suicidal
I got twitter 4 my iPod touch yaaaaaay!!!!!!!!!!!!!!,Not suicidal
I need a job that revolves around promoting  mental health but I think it’s so grimy to make money off of that 🤷‍♀️… https://t.co/h9QSTVZxxf,Suicidal
@rustyrockets you are a big piece of the rainbow..shine big shine bright and I will see you out there Sparkle friends forever,Not suicidal
"@geuphers, you will fully bloom after all the hardships. i love u ):",Not suicidal
@jessedonoe I mean.... my life is miserable so I guess light at the end of the tunnel,Suicidal
DISAPPEARING WHEN YOU WAKE UP BUT THERES NOTHING TO BE AFRAID OF EVEN WHEN THE NIGHT CHANGES IT WILL NEVER CHANGE ME AND YOU,Suicidal
Really fuckin want this portion of my life to be over.,Suicidal
"@wildchamomille,im learning how to love myself,and i dont want to be here anymore",Suicidal
@Vince_Craine Glad to see you've toned down your sell. Still like the software,Not suicidal
"RT @Elixeon: Just want to say that just cause a song isn't charting, doesn't mean its dead. Stans online care about charts way more than GP…",Suicidal
My workplace gets so much better when good weather strikes. http://tinyurl.com/cp7n6w,Not suicidal
"@Kal_Penn Thank you, Kal!!! You're GREAT!!! Good luck on everything that you'll do!",Not suicidal
"@MmmBaileys Have a good day Jessie, and I'll tell you for why, it's your birthday!",Not suicidal
Can’t believe I lost my damn car keys smh mind you the damn house key is on there 🙄 this is the 2nd time my drunk a… https://t.co/EaZ8urlp7o,Suicidal
@NPR These things are literally an everyday occurrence for my family ever since my parents came to this country. It… https://t.co/TYCbrfobGC,Suicidal
should not be crushing on a boy (with a nice smile) just 'cos he asked for my number... hmm...,Not suicidal
"@joniconix Ah, you refer to the tabloid not letters. I see. In that case I must add an additional rephrasing. &quot;I don't.&quot;",Not suicidal
You hear this @DaveOshry? Together we could start some sort of terrible business that pays nothing and sucks our wi… https://t.co/0cD2tTVEag,Suicidal
I was called in yesterday at the Guidance Counselor's office. I thought I did something bad as my ID was blocked. I… https://t.co/jka0bYtvG9,Suicidal
&quot;is in awe of everything she sees your way&quot;,Not suicidal
@nerer0cket dont worry we'll make the most out of it,Not suicidal
My Cullen family jewellery set arrived this morning! So happy!,Not suicidal
RT @coletterojean: I hate when I have to rate my group members because I’ll ALWAYS rate them higher than I’d rate myself knowing damn well…,Suicidal
"@TonyWade @iantalbot I'm a size 5, but I have to wear orthotics in my footwear if I'm attempting to walk so I can get away with a 6",Not suicidal
A day researching prices for a buffet Mrs CM is doing on Friday. Heard yesterday that the deal for our new shop is finally progressing,Not suicidal
@brigham oh! thank you!! I'm just glad to not be shutting stuff across the street anymore.. it's a little slower w/ the unpacking tho!,Not suicidal
@Woth2982 @DDsBoston @Bostongrlkayte it is going to be sunny and 11 Celcius Friday and sunny and 15 Saturday sweet,Not suicidal
RT @deepee_xo: It's all fun &amp; games until you're throwing up hotcheetos https://t.co/WFnQHu3vaA,Not suicidal
RT @jmattjmattjmatt: When you’re trying to go out for pre-game and you hear... “Ay come take this pic with your family!!!” Oh well... happy…,Not suicidal
"I need a guidance, mentor, father figure, guardian angel or whatever fuck out there that can tell me what to do wit… https://t.co/CQip4mVgAh",Suicidal
JUST FUCKIN KILL ME,Suicidal
RT @ShorouqAD: Choose a job you Love and you will never have to work a day in your life. Happy future our amazing students,Not suicidal
"@likeaword I *love* it, SO exciting to see new growth everywhere! insects making most of first pollen, bustling in hedges, birdsong",Not suicidal
@WAHMBizbuilder absolutely! Are you due in Melb any time soon?,Not suicidal
How to handle suicide and incidencesof suicide to youths,Suicidal
just got out of the shower. nothing says 'wake up' like body lotion in your hair,Not suicidal
Starting my day out with a positive attitude! To be great watch greatness!,Not suicidal
"Ever feel like everyone's better off without you, because me fucking too. https://t.co/TcS3ZzrZoj",Suicidal
Causes of suicide by youths,Suicidal
"interesting to note how twitter is like branding..the more you tweet, the more people follow - thanks for the follow Alister, Mark, Greg",Not suicidal
"@RachelStarrxxx AWWWWWW, i really wish i could be there to give ya some serious TLC Rachel hun....sending ya huge HUGZ AND KISSES",Not suicidal
Thanks @unltdworld and @danlehner for the Enternships.com plugs,Not suicidal
@crystalweb and @sallyormond (Briar Copywriting)- an awesome combination,Not suicidal
I feel so lonely,Suicidal
@noi27 Easy way is to go to MBK and get it hacked. @chuanjeng got a CN rom on his TH phone...,Not suicidal
I asked God to take away the feeling since it was so strong,Suicidal
#twinelis = wine + food + nice people having fun Today at 7pm at DeliDelux,Not suicidal
@itsmeAJyo You think I like the feeling of walking past a homeless person knowing I'm gonna give them money I wish… https://t.co/9ybTrA6RRK,Suicidal
RT @Mylingo11: Never get too attach cause  people wake up with  different feelings everyday.,Suicidal
"Congratulations, John! I'm a creepy actor, not a sweet actor",Not suicidal
is on the go...,Not suicidal
i wanna fucking die im so tired of feeling pain constantly GOD i need to be left alone and cry and wallow in my misery until i feel better,Suicidal
"Awake....hopin my big brother gots time 4 me 2day, just a lil bit atleast. Yay but Katelyn might come up to hang with me",Not suicidal
Will people judge me for trying to take my life,Suicidal
happy birthday!,Not suicidal
i just rlly cant wait for all old white ppl to fuckijg die out !!!! im so tired of gen x &amp; y and baby boomers liter… https://t.co/ucZdBw2WHv,Suicidal
I’m a waste of space and I deserve to die.,Suicidal
"RT @SevenShepherd: ""And a certain centurion's servant, who was dear unto him, was sick, and ready to die."" ~Luke 7:2 #Jesus #God #Bible",Suicidal
@R1B Too bad. Make it a good show,Not suicidal
How to become my oldself again,Suicidal
"RT @darkles_sparkle: @GameOfThrones ""My name is Arya Stark. I want you to know that. The last thing you’re ever going to see is a Stark smi…",Suicidal
LOLOLOLOLOL I HATE HOW I TRUST PEOPLE WITH UGLY PICTURES OF MYSELF AND THEN THEY BREAK THAT TRUST LIKE LOL DAMN OK IT BE LIKE THAT SOMETIMES,Suicidal
@whiskymac1746 Afternoon to you too,Not suicidal
me: *sees a car crash* i wonder how they crashed,Suicidal
@willcarling How's the ski jumping going? Have you beat the missus yet?,Not suicidal
@chinewinelover ?????,Not suicidal
When my Bottle Pop Shake me!..,Not suicidal
RT @revolwoc: @sh_tbritttsays *que screamo voice* SO CUT MY WRIST AND BLACK MY EYES,Suicidal
I just wanna bring up Mac didn’t die from cocaine mixed with fentanyl. He literally had a line. .”shit ain’t been t… https://t.co/wUElVuw1CO,Suicidal
Somebody kill the evil version of me please!!,Suicidal
Our plans are coming together nicely! I am very happy indeed today,Not suicidal
"RT @milatorres170: I never had to do the most , throw shade or hate. I can be quiet and bitches still want me dead. That’s pure Hate and I…",Suicidal
Just woke up ...Good morning everyonee!,Not suicidal
its crazy cause i shut myself out on two ppl i been down w. soo long and ik i love them to death and i would prob…,Suicidal
@darkmagique O Yes i aM For Sure! Am sooo happy that he checked it out AgaiN... What TiMe ?..Onish? Jaaaaaah ! Lolm !,Not suicidal
"@im2byteme I'm all for the Fair Tax, or Bush's deficit back. Something!",Not suicidal
Looking for help on testing Prawn PDFs with Cucumber. All i can find is Prawn and Cucumber salad recipes! http://tinyurl.com/cnnn6z,Not suicidal
@Schofe You too,Not suicidal
RT @jenanmoussa: I love to see Palestinians dancing and having fun. Good &amp;positive stories deserve to go viral as well.,Not suicidal
"@slxmdunk,United Kingdom,@Pamaj what hapens if i dont want to be here anymore?",Suicidal
@pinkfrangipani it's take me to the river from sydenee,Not suicidal
@davethackeray LOL! You saw that? Hahaha...was a fun day of exploration and experimentation!,Not suicidal
I fucking miss you :( but you’re probably better off without me.,Suicidal
AFTER EFFECTS HAS FROZEN AND I DID NOT I REPEAT I DID NOT SAVE MY EDIT I WANT TO ACTUALLY FUCKING DIE .... IT TOOK… https://t.co/yif8DABTQm,Suicidal
"RT @petun1ia: I have nothing to live for dude, shits so sad.",Suicidal
"RT @NonWhiteHat: Naming laws after dead children is a cynical ploy. ""If you don't support this law, you must want more kids to die, just li…",Suicidal
#spbpuk we've got a snorer in the IT Pro track! Really it's quite interesting,Not suicidal
Casual Tuesday again for train bf...he sat next to me today!! This has to mean I'm going to have a good day,Not suicidal
Will people judge me for trying to take my life,Suicidal
@gimmethefife No one should ever be driven to the point of suicide... especially not by those you have done nothing but cared for..,Not suicidal
"Wait I take this back, I fucking hate living in Markham and I want to actually kill myself damn",Suicidal
May you live every day of your life: Jonathan Swift,Not suicidal
"heading home today for easter break my parents don't think i'll be home til thursday, so what a surprise!",Not suicidal
RT @goghsreddevils: @bosco_dumpling @CoachLanter @Cam3ronmb @Gtownfootball1 Congratulations to Coach Lanter for winning his first career ga…,Not suicidal
I've truly never been happier with my life :))) I'm rid of all the toxic people who brought me down :))) and those… https://t.co/g8KBt7lbtw,Suicidal
"@weird6 it is. The pizza place is standing room only around dinnertime. They had a pizza named after me, the Woo.",Not suicidal
"To no one: I'm not fucking okay, stop asking me if I am. Stop asking me what's wrong. If I knew then I'd fucking sa… https://t.co/iIXwUtp35x",Suicidal
"This is correct. I, for one, absolutely do not want to live in a country with these fucking chuds. And I believe 25… https://t.co/968xex7emJ",Suicidal
I want to kill myself I really want to fucking kill myself im done,Suicidal
AFTER EFFECTS HAS FROZEN AND I DID NOT I REPEAT I DID NOT SAVE MY EDIT I WANT TO ACTUALLY FUCKING DIE .... IT TOOK… https://t.co/yif8DABTQm,Suicidal
"@EmisonNaomily but still,i highkey want him to be dead. He f killed peach and beck ugh.Candice is back so imma just… https://t.co/5pBYOKbtRc",Suicidal
RT @NeerajKA: Congratulations to everyone who bought a wiretap so they could buy stuff more easily https://t.co/SZrV7Q8Q8y,Not suicidal
"@Corning_Futures yo, I live in Jacksonville lets do lunch",Not suicidal
@k1tten lol supp it aint fucked,Not suicidal
@Da_Funk welcome bro!,Not suicidal
"Hurrah! Someone is listening! Delay so long, have now missed meeting. Back home to walk dog and reschedule",Not suicidal
RT @BabitaBandhu: @MLekhiOffice World got the right path celebrating 'Matri pitri pujan diwas' started by #Bapuji. #ServiceForHumanity,Not suicidal
"RT @Raptors_22: I quit, I keep grinding but still fucking suck. I no life something and I still fucking suck. I’m never gonna get into  @Fa…",Suicidal
@mark_uk_ne We know we don't have a Queen.,Not suicidal
@TheFemGeek Interesting that I was just asking myself that same question!,Not suicidal
"1/2 hr debugging for a CSS problem on a colleague's computer, before I remembered that I installed IE8 on my PC a couple of weeks ago",Not suicidal
"@MoonwoodFarm Yes, the gloves are my pattern. I've made lots of gloves on my looms",Not suicidal
RT @WayneRooney: Congratulations to Joe Cole on a brilliant career. Enjoy your retirement mate 👏🏼🏴󠁧󠁢󠁥󠁮󠁧󠁿👍🏼 https://t.co/L6Lq9R394n,Not suicidal
@itsanimesh I got an Openmoko FreeRunner and now and Android G1 as well!! yAy!,Not suicidal
RT @reckless: I am so jealous of this insane @TaylorLorenz story I want to die https://t.co/6RNqtfKlH5,Suicidal
"I hate that I’m at war with myself daily. I hate living at home like this, bc I’m told my emotions don’t matter. I… https://t.co/1gPpI18pwQ",Suicidal
"I'm gunna have a lazy day today. Woo, Good timezzzzzzzz",Not suicidal
Going to the toilet cause I have to take a leak for over an hour now.,Not suicidal
wants something to eat but cant decide what to have shortstack were on home and away and hi tori,Not suicidal
Is suicide the right decision?,Suicidal
there are no perks of being this ugly i deserve an award or something at least if i’m gonna die alone,Suicidal
Guess who just posted on Universal Causality? ME! http://universalcausality.wordpress.com/2009/04/07/thoughts-in-the-mens-room/,Not suicidal
@Abipips So true- nothing induces madness like trying to figure out why ppl do what they do Hope today with yr little one is wonderful x,Not suicidal
Just got back from a sweltering morning covering Cowboys preseason training and the air-con in the office is broken… https://t.co/EidVT1AO1h,Suicidal
Disneyland was great! ... Got to go and pick up the kitties in a minute ... ?,Not suicidal
"@lilbluezcluez,crawling out of hell,i dont want to be here anymore",Suicidal
@BeatlesTweets WOW awesome pics!!,Not suicidal
@twitme10 Lol - curry .. cuppa tea ... glass of merlot .... a free doggie ... I'm happy to negotiate,Not suicidal
"@Madyson_gregg,Castroville, TX,RT @jaemverse: i just dont want to be here anymore",Suicidal
@zayleeuh damn I hate myself,Suicidal
"@dink9966 Losing those 2 guys is huge, but you gotta deal with it. Time to call up Weber for the PP &amp; Price to take some NyQuil #habs",Not suicidal
RT @8BitSlothiness: @nickmon1112 Can this please be over with? I'm tired of everything from @discordapp to my coffee maker have a popup tel…,Suicidal
@sh_tbritttsays *que screamo voice* SO CUT MY WRIST AND BLACK MY EYES,Suicidal
I saw deer in the backyard from my bedroom window this morning,Not suicidal
some people tweets a lot.Thatï¿½s cool...I guess,Not suicidal
@ijamidayu Thanks Bro.. Baru dpt login WC td lps reset password balik..,Not suicidal
@squishynoms you did not get mumps so thankfully my life is spared WOOP,Not suicidal
after im gonna have a lok in d argos catalouge 4 summ bday pressies or look online,Not suicidal
hates the people on facebook trying to convince JP1 to get an iPhone.,Not suicidal
 will i stop one day.,Suicidal
@OurDave Good routes here http://www.bikely.com/maps/bike-path/Manly-Dam-Mountain-Bike-Track was today's ride. 2 laps!,Not suicidal
"I am just tired of everything, i wanna die",Suicidal
"@jdickerson www.youtube.com/Titomi15..WATCH THE VIDEOS,COMMENT&amp;SUSCRIBE!! &amp; FOLLOW me , Cheers x",Not suicidal
...going for a four-mile night run....around the old B-52 bomber on Andersen. gotta tape my ankles!,Not suicidal
@acummings We have the location updated on the Dakno blog. Always looking out for the REBC peeps! #REBCPHL,Not suicidal
Why do people commit suicide?,Suicidal
I be asking god why do I keep loosing people in my life but I see why everyday you can't move ahead in life,Not suicidal
At the end of the day I’m at this point in my life where I TRULY DO NOT GIVE A FUCK ! So if I give a fuck about you… https://t.co/KOngVi6Kgd,Suicidal
Ill ride for my dawgs any day but at the end of the day. I already know where the streets can take you &amp I what hap… https://t.co/Pqys3uWHkj,Suicidal
I’m so done with today like I just want to fucking kill myself,Suicidal
